id,major_category,major_code,mid_category,sub_category,sub_category_en,isco_code,onet_code,region,country_or_region,iso_code,type,employer_type,typical_education,typical_entry_age,locality,learning_cost,education_req,growth_coeff,career_lifespan,opportunity,market_size,supply_demand,developed_scarcity,value_added,cost_performance,stability,safety,occupational_disease,overtime,burnout,skill_versatility,career_switch,reputation_variance,ai_resistance,social_status,remote_friendly,autonomy,family_friendly,fulfillment,entrepreneurship,gender_equality,age_flexibility,social_interaction,physical_demand,license_barrier,cycle_sensitivity,side_job_compat,intl_mobility,industry_monopoly,trend_2000_2026,trend_5yr,demand_direction,ai_timeline,composite_index,summary_zh,summary_en,data_source,generated_date,data_snapshot_date,source_period
SKL-0101-CN-general,技术工种与手工业,SKL,电气技术,电工,Electrician,7411,47-2111.00,东亚,中国,CN,country,general,职校/学徒,18-25,global,4.2,3.6,6.7,8.0,7.3,7.9,7.5,8.1,6.8,7.1,7.0,5.2,5.5,3.6,5.0,6.6,5.2,1.4,8.0,5.2,0.6,6.4,4.4,6.4,7.6,2.6,6.1,5.3,6.5,6.4,5.0,7.7,5.7,2.9,3,3,↑,2035+,6.15,中国电工：人才需求旺盛，AI替代抗性强，发达国家严重短缺,"China Electrician: strong talent demand, strong AI resistance, severe shortage in developed countries",AI综合评估 + O*NET/ILO/OECD锚点校准,2026-04-13,2026-04-13,2000-2026
SKL-0101-JP-general,技术工种与手工业,SKL,电气技术,电工,Electrician,7411,47-2111.00,东亚,日本,JP,country,general,职校/学徒,18-25,global,4.8,3.7,6.7,8.3,7.2,7.8,8.2,9.3,7.4,7.4,7.6,6.8,5.7,4.4,5.1,6.5,5.6,1.2,7.8,6.1,0.4,6.7,4.7,7.1,8.0,2.4,6.7,5.6,6.8,7.0,4.6,7.7,5.4,3.0,4,2,↑,2035+,6.43,日本电工：人才需求旺盛，AI替代抗性强，发达国家严重短缺,"Japan Electrician: strong talent demand, strong AI resistance, severe shortage in developed countries",AI综合评估 + O*NET/ILO/OECD锚点校准,2026-04-13,2026-04-13,2000-2026
SKL-0101-KR-general,技术工种与手工业,SKL,电气技术,电工,Electrician,7411,47-2111.00,东亚,韩国,KR,country,general,职校/学徒,18-25,global,4.7,3.6,6.6,8.1,7.6,7.6,8.2,8.1,6.8,7.0,7.1,6.1,5.4,3.8,4.8,6.3,5.7,1.7,7.7,5.8,0.6,6.2,4.0,6.5,7.6,2.2,6.4,5.2,6.4,6.5,5.0,7.5,5.7,3.0,3,2,↑,2035+,6.15,韩国电工：人才需求旺盛，AI替代抗性强，发达国家严重短缺,"South Korea Electrician: strong talent demand, strong AI resistance, severe shortage in developed countries",AI综合评估 + O*NET/ILO/OECD锚点校准,2026-04-13,2026-04-13,2000-2026
SKL-0101-TW-general,技术工种与手工业,SKL,电气技术,电工,Electrician,7411,47-2111.00,东亚,中国台湾地区,TW,region,general,职校/学徒,18-25,global,4.8,3.4,6.6,8.3,7.3,7.5,7.9,8.0,6.8,7.3,7.5,6.1,5.8,4.2,5.1,6.2,5.5,1.5,7.7,5.4,0.2,6.5,4.6,6.3,7.5,3.3,6.5,5.5,6.4,6.6,4.9,7.5,6.2,2.8,3,2,↑,2035+,6.24,中国台湾地区电工：人才需求旺盛，AI替代抗性强，发达国家严重短缺,"Taiwan (China) Electrician: strong talent demand, strong AI resistance, severe shortage in developed countries",AI综合评估 + O*NET/ILO/OECD锚点校准,2026-04-13,2026-04-13,2000-2026
SKL-0101-HK-general,技术工种与手工业,SKL,电气技术,电工,Electrician,7411,47-2111.00,东亚,中国香港地区,HK,region,general,职校/学徒,18-25,global,4.5,3.4,6.7,8.1,7.8,8.2,8.5,9.0,7.1,7.6,7.4,6.4,5.8,4.0,5.2,6.4,5.5,1.7,8.1,5.6,0.7,6.5,4.7,6.1,7.5,3.2,6.4,5.4,6.6,6.8,5.1,7.4,7.2,3.1,3,2,↑,2035+,6.41,中国香港地区电工：人才需求旺盛，AI替代抗性强，发达国家严重短缺,"Hong Kong (China) Electrician: strong talent demand, strong AI resistance, severe shortage in developed countries",AI综合评估 + O*NET/ILO/OECD锚点校准,2026-04-13,2026-04-13,2000-2026
SKL-0101-SG-general,技术工种与手工业,SKL,电气技术,电工,Electrician,7411,47-2111.00,东南亚,新加坡,SG,country,general,职校/学徒,18-25,global,4.5,3.4,7.0,8.5,7.6,7.9,8.6,8.8,7.2,7.6,8.1,6.7,5.7,4.6,5.3,6.5,5.7,1.6,7.9,6.0,0.3,6.3,4.8,6.4,8.1,3.4,6.9,5.4,6.6,7.2,5.0,7.7,7.1,3.0,3,2,↑,2035+,6.51,新加坡电工：人才需求旺盛，AI替代抗性强，发达国家严重短缺,"Singapore Electrician: strong talent demand, strong AI resistance, severe shortage in developed countries",AI综合评估 + O*NET/ILO/OECD锚点校准,2026-04-13,2026-04-13,2000-2026
SKL-0101-TH-general,技术工种与手工业,SKL,电气技术,电工,Electrician,7411,47-2111.00,东南亚,泰国,TH,country,general,职校/学徒,18-25,global,4.3,3.5,6.3,8.1,6.7,7.4,7.3,7.1,5.8,6.8,6.9,5.1,5.5,5.5,5.5,6.5,5.5,1.5,7.9,4.9,0.7,6.3,4.6,6.7,7.3,2.8,6.7,5.3,6.7,6.2,5.0,7.2,5.6,3.1,3,2,↑,2035+,6.06,泰国电工：AI替代抗性强,Thailand Electrician: strong AI resistance,AI综合评估 + O*NET/ILO/OECD锚点校准,2026-04-13,2026-04-13,2000-2026
SKL-0101-VN-general,技术工种与手工业,SKL,电气技术,电工,Electrician,7411,47-2111.00,东南亚,越南,VN,country,general,职校/学徒,18-25,global,4.5,3.3,6.7,8.2,6.6,7.9,7.2,6.8,5.5,6.4,6.9,5.0,5.4,4.7,5.4,6.2,5.6,1.7,8.2,5.1,0.4,6.4,4.3,6.7,7.0,3.1,6.3,5.3,6.2,6.5,5.1,7.3,5.5,2.9,3,2,↑,2035+,5.99,越南电工：AI替代抗性强,Vietnam Electrician: strong AI resistance,AI综合评估 + O*NET/ILO/OECD锚点校准,2026-04-13,2026-04-13,2000-2026
SKL-0101-ID-general,技术工种与手工业,SKL,电气技术,电工,Electrician,7411,47-2111.00,东南亚,印度尼西亚,ID,country,general,职校/学徒,18-25,global,4.2,3.3,6.6,7.9,6.6,7.3,6.9,7.4,5.7,6.5,6.7,4.7,5.3,5.0,5.5,6.3,5.4,1.7,8.2,5.2,0.7,6.1,4.8,6.6,7.1,3.0,6.3,5.6,6.4,6.5,5.0,7.5,5.4,2.9,3,2,↑,2035+,6.01,印度尼西亚电工：AI替代抗性强,Indonesia Electrician: strong AI resistance,AI综合评估 + O*NET/ILO/OECD锚点校准,2026-04-13,2026-04-13,2000-2026
SKL-0101-MY-general,技术工种与手工业,SKL,电气技术,电工,Electrician,7411,47-2111.00,东南亚,马来西亚,MY,country,general,职校/学徒,18-25,global,4.3,3.2,6.8,8.0,7.1,8.0,7.5,8.0,6.3,6.9,7.1,5.5,5.6,4.8,5.6,6.7,5.6,1.5,8.3,5.0,0.5,6.4,5.1,6.7,7.3,2.8,6.5,5.6,6.6,6.2,4.6,7.2,6.4,3.2,3,2,↑,2035+,6.27,马来西亚电工：人才需求旺盛，AI替代抗性强，发达国家严重短缺,"Malaysia Electrician: strong talent demand, strong AI resistance, severe shortage in developed countries",AI综合评估 + O*NET/ILO/OECD锚点校准,2026-04-13,2026-04-13,2000-2026
