id,major_category,major_code,mid_category,sub_category,sub_category_en,isco_code,onet_code,region,country_or_region,iso_code,type,employer_type,typical_education,typical_entry_age,locality,learning_cost,education_req,growth_coeff,career_lifespan,opportunity,market_size,supply_demand,developed_scarcity,value_added,cost_performance,stability,safety,occupational_disease,overtime,burnout,skill_versatility,career_switch,reputation_variance,ai_resistance,social_status,remote_friendly,autonomy,family_friendly,fulfillment,entrepreneurship,gender_equality,age_flexibility,social_interaction,physical_demand,license_barrier,cycle_sensitivity,side_job_compat,intl_mobility,industry_monopoly,trend_2000_2026,trend_5yr,demand_direction,ai_timeline,composite_index,summary_zh,summary_en,data_source,generated_date,data_snapshot_date,source_period,median_salary_rmb
TECH-0302-CN-general,信息技术与数字化,TECH,网络与安全,信息安全工程师,Cybersecurity Engineer,2529,15-1212.00,东亚,中国,CN,country,general,本科/硕士,23-30,global,6.3,5.8,9.5,8.3,10.0,8.4,9.8,9.9,10.0,9.4,7.1,8.7,4.5,0.7,2.0,7.3,7.5,0.4,7.8,9.1,6.0,6.3,3.3,8.2,7.6,4.6,6.6,5.8,1.0,3.1,3.2,6.3,7.5,2.7,5,5,↑↑,2035+,7.24,中国信息安全工程师：薪资回报高，人才需求旺盛，AI替代抗性强,"China Cybersecurity Engineer: high compensation, strong talent demand, strong AI resistance",AI综合评估 + O*NET/ILO/OECD锚点校准,2026-04-13,2026-04-13,2000-2026,1350000
TECH-0108-CN-general,信息技术与数字化,TECH,软件开发,软件架构师,Software Architect,2512,15-1251.00,东亚,中国,CN,country,general,本科/硕士,28-35,global,7.9,6.8,9.4,7.4,9.4,7.4,9.0,9.9,10.0,8.6,6.6,9.5,5.0,1.4,3.5,8.7,8.4,0.7,7.3,9.3,5.6,7.2,2.9,8.9,8.7,4.5,7.0,6.2,1.3,1.3,5.2,6.9,7.1,2.3,4,3,↑,2032-2038,7.2,中国软件架构师：薪资回报高，人才需求旺盛，加班文化严重,"China Software Architect: high compensation, strong talent demand, heavy overtime culture",AI综合评估 + O*NET/ILO/OECD锚点校准,2026-04-13,2026-04-13,2000-2026,1350000
TECH-0201-CN-general,信息技术与数字化,TECH,人工智能与数据,机器学习工程师,Machine Learning Engineer,2511,15-2051.00,东亚,中国,CN,country,general,硕士/博士,24-30,global,7.0,7.1,9.7,6.5,10.0,8.5,9.1,9.3,10.0,9.8,4.6,9.7,5.5,0.5,3.1,8.7,8.5,0.9,7.4,9.6,6.1,7.2,2.7,9.0,8.6,4.9,5.3,5.3,1.2,0.2,4.2,6.1,8.4,3.1,5,5,↑↑,2032-2038,7.19,中国机器学习工程师：薪资回报高，人才需求旺盛，加班文化严重,"China Machine Learning Engineer: high compensation, strong talent demand, heavy overtime culture",AI综合评估 + O*NET/ILO/OECD锚点校准,2026-04-13,2026-04-13,2000-2026,1350000
TECH-0207-CN-general,信息技术与数字化,TECH,人工智能与数据,AI研究科学家,AI Research Scientist,2120,15-2051.00,东亚,中国,CN,country,general,博士,27-35,global,9.0,9.8,9.6,8.3,9.4,5.1,9.6,10.0,10.0,8.6,5.6,9.7,5.7,1.1,2.5,8.4,7.4,0.9,8.1,10.0,5.3,8.1,3.4,9.5,8.3,5.0,4.1,5.3,0.2,0.5,3.5,5.0,8.8,3.9,5,5,↑↑,2035+,7.07,中国AI研究科学家：薪资回报高，人才需求旺盛，AI替代抗性强,"China AI Research Scientist: high compensation, strong talent demand, strong AI resistance",AI综合评估 + O*NET/ILO/OECD锚点校准,2026-04-13,2026-04-13,2000-2026,1350000
TECH-0511-CN-general,信息技术与数字化,TECH,新兴数字职业,AI安全研究员,AI Safety Researcher,2511,15-2051.00,东亚,中国,CN,country,general,博士,27-35,global,8.3,9.1,9.8,8.1,9.0,4.7,10.0,10.0,10.0,8.6,5.3,9.5,5.7,1.7,2.9,7.2,6.6,1.4,8.6,10.0,6.6,6.9,2.7,9.6,6.6,5.1,5.3,5.1,0.6,0.5,3.3,5.1,7.7,3.3,3,5,↑↑,2035+,7.02,中国AI安全研究员：薪资回报高，人才需求旺盛，AI替代抗性强,"China AI Safety Researcher: high compensation, strong talent demand, strong AI resistance",AI综合评估 + O*NET/ILO/OECD锚点校准,2026-04-13,2026-04-13,2000-2026,1350000
TECH-0303-CN-general,信息技术与数字化,TECH,网络与安全,渗透测试工程师,Penetration Tester,2529,15-1212.00,东亚,中国,CN,country,general,本科/自学,22-30,global,6.4,5.3,9.5,7.1,10.0,6.1,9.0,10.0,10.0,8.3,6.9,8.7,5.4,1.4,2.4,7.2,6.7,0.8,8.0,7.9,5.8,5.7,3.7,7.8,7.6,3.4,5.7,5.5,0.8,2.7,3.6,7.4,6.9,2.2,4,5,↑↑,2035+,7.01,中国渗透测试工程师：薪资回报高，人才需求旺盛，AI替代抗性强,"China Penetration Tester: high compensation, strong talent demand, strong AI resistance",AI综合评估 + O*NET/ILO/OECD锚点校准,2026-04-13,2026-04-13,2000-2026,1350000
TECH-0305-CN-general,信息技术与数字化,TECH,网络与安全,云计算工程师,Cloud Engineer,2523,15-1244.00,东亚,中国,CN,country,general,本科,22-30,global,6.4,4.8,9.8,7.3,10.0,9.2,8.7,9.2,9.6,8.6,5.8,9.7,5.7,1.1,2.9,8.9,7.9,1.4,5.9,8.9,6.4,5.5,2.7,7.5,7.3,3.9,5.9,5.8,1.3,1.6,3.8,6.6,8.0,3.3,5,5,↑↑,2028-2033,7.0,中国云计算工程师：薪资回报高，人才需求旺盛，加班文化严重,"China Cloud Engineer: high compensation, strong talent demand, heavy overtime culture",AI综合评估 + O*NET/ILO/OECD锚点校准,2026-04-13,2026-04-13,2000-2026,1128000
TECH-0202-CN-general,信息技术与数字化,TECH,人工智能与数据,数据科学家,Data Scientist,2120,15-2051.00,东亚,中国,CN,country,general,硕士/博士,24-30,global,7.3,7.4,9.7,6.7,10.0,8.6,7.4,7.7,10.0,9.4,5.1,9.5,5.5,1.9,3.3,9.4,8.7,1.1,6.4,9.4,6.2,6.0,3.2,8.2,8.3,4.5,5.3,5.2,0.4,0.3,4.3,7.1,7.2,2.0,5,4,↑↑,2032-2038,6.99,中国数据科学家：薪资回报高，加班文化严重，近年增长迅猛,"China Data Scientist: high compensation, heavy overtime culture, rapid recent growth",AI综合评估 + O*NET/ILO/OECD锚点校准,2026-04-13,2026-04-13,2000-2026,1350000
TECH-0205-CN-general,信息技术与数字化,TECH,人工智能与数据,NLP工程师,NLP Engineer,2511,15-2051.00,东亚,中国,CN,country,general,硕士/博士,24-30,global,7.3,7.6,9.1,6.2,10.0,7.7,9.4,9.5,10.0,9.6,5.1,9.7,5.7,0.6,2.6,8.2,7.6,1.4,7.0,9.1,6.3,6.5,2.5,8.8,7.6,4.8,5.0,5.3,0.5,0.0,5.0,6.0,7.3,3.0,5,5,↑↑,2032-2038,6.94,中国NLP工程师：薪资回报高，人才需求旺盛，加班文化严重,"China NLP Engineer: high compensation, strong talent demand, heavy overtime culture",AI综合评估 + O*NET/ILO/OECD锚点校准,2026-04-13,2026-04-13,2000-2026,1350000
TECH-0106-CN-general,信息技术与数字化,TECH,软件开发,DevOps工程师,DevOps Engineer,2522,15-1244.00,东亚,中国,CN,country,general,本科,22-30,global,5.8,5.4,9.2,7.0,9.4,9.6,8.9,8.8,10.0,8.6,5.4,9.7,5.4,0.6,3.3,8.4,7.2,1.4,6.1,7.8,6.4,5.9,3.4,7.6,6.9,3.9,6.0,5.4,0.7,0.4,4.0,6.4,6.9,2.2,4,4,↑↑,2032-2038,6.92,中国DevOps工程师：薪资回报高，人才需求旺盛，加班文化严重,"China DevOps Engineer: high compensation, strong talent demand, heavy overtime culture",AI综合评估 + O*NET/ILO/OECD锚点校准,2026-04-13,2026-04-13,2000-2026,1350000
